,compound,tweetcreatedts,cluster
7,-0.6433,-0.93464,-1
24,-0.835,-0.504,-1
26,0.5719,-0.48924,-1
48,-0.7579,-0.1656,-1
50,-0.128,-0.1576,-1
67,0.4939,-0.078,-1
139,-0.8126,0.19172,2
143,-0.8834,0.19772,2
145,-0.8646,0.2074,2
159,-0.2263,0.29316,-1
195,-0.6705,0.432,2
221,0.4215,0.5112,0
223,-0.5719,0.51856,3
225,-0.7717,0.51968,3
231,-0.4243,0.53776,3
250,-0.8442,0.60264,3
255,-0.3612,0.6322,3
258,-0.296,0.64544,-1
261,0.7096,0.65196,0
281,0.4767,0.72332,0
286,-0.7717,0.74176,3
299,0.68,0.76884,0
310,-0.5423,0.792,3
339,-0.0516,0.91316,-1
353,-0.6908,0.9924,3
359,-0.5106,1.0242,3
374,-0.4767,1.0812,3
391,0.4404,1.14864,0
396,-0.5574,1.15224,3
433,-0.8957,1.3358,-1
458,0.8205,1.44408,0
481,0.9686,1.5994,0
497,-0.1779,1.66516,1
501,-0.7269,1.6834,1
512,-0.6486,1.73012,1
514,-0.5423,1.74208,1
517,-0.34,1.75284,1
526,0.5106,1.78728,0
529,-0.875,1.8,1
535,-0.9114,1.8156,1
562,0.4926,1.9152,-1
572,-0.128,2.0136,1
604,-0.25,2.2302,-1
716,-0.8388,-8e-05,2
783,-0.8271,0.2182,2
784,-0.9325,0.2192,2
869,-0.3182,0.69208,3
874,0.7964,0.71572,0
879,-0.6997,0.73904,3
903,-0.128,0.86308,-1
933,-0.3612,0.98824,3
938,-0.7783,1.02552,-1
942,0.9117,1.06204,0
944,0.9016,1.07484,0
964,-0.923,1.20164,-1
985,0.8176,1.25428,0
1044,-0.765,1.5436,1
1054,-0.4939,1.5852,1
1110,-0.959,1.8166,1
1118,0.4574,1.85376,-1
1142,-0.2695,1.944,1
1181,0.8718,2.26244,-1
