,Unnamed: 0,userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetid,tweetcreatedts,retweetcount,text,hashtags,language,coordinates,favorite_count,is_retweet,original_tweet_id,original_tweet_userid,original_tweet_username,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,quoted_status_id,quoted_status_userid,quoted_status_username,extractedts,neg,neu,pos,compound
3,380,1485418522679382023,teamzelensky,Слава Україні 🇺🇦,Ukraine,5,652,1613,2022-01-24 01:06:06.000000,1566944130730688512,2022-09-06 00:19:27,1,"Putin giving his speech.

Zelensky: hahaha he is lying !😂😎

#Ukraine #Russia #Zelensky https://t.co/nxdZbpiy0y","[{'text': 'Ukraine', 'indices': [62, 70]}, {'text': 'Russia', 'indices': [71, 78]}, {'text': 'Zelensky', 'indices': [79, 88]}]",en,,5,False,0,0,,0,0,,False,0,0,,2022-09-06 08:27:37.542151,0.15,0.48,0.37,0.8313
5,428,1013014948811821056,magrit_alessa,https://t.co/0Dee40WIKv,Ukraine,75,374,651,2018-06-30 11:02:39.000000,1566944845935087618,2022-09-06 00:22:18,0,"#MyMusicWeeklyChart(29 Aug 2022-04 Sept 2022) on #YouTube

https://t.co/X2MMgsYxig

💛💙#Ukraine🇺🇦

#RuSSiaKills #StopRussianAggression #RussiaIsATerroristState
If someone wants to help or support Ukraine:
https://t.co/LVjLJkYMxT

https://t.co/HksVnJIMDV

https://t.co/r0vUwv9sF7","[{'text': 'MyMusicWeeklyChart', 'indices': [0, 19]}, {'text': 'YouTube', 'indices': [49, 57]}, {'text': 'Ukraine', 'indices': [86, 94]}, {'text': 'RuSSiaKills', 'indices': [98, 110]}, {'text': 'StopRussianAggression', 'indices': [111, 133]}, {'text': 'RussiaIsATerroristState', 'indices': [134, 158]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-06 10:06:20.408375,0.0,0.706,0.294,0.8625
6,434,1485418522679382023,teamzelensky,Слава Україні 🇺🇦,Ukraine,5,652,1613,2022-01-24 01:06:06.000000,1566944930001461248,2022-09-06 00:22:38,0,"OUR LEADER😎🇺🇦

#Ukraine #Zelensky
https://t.co/TXBWW7QgaS","[{'text': 'Ukraine', 'indices': [15, 23]}, {'text': 'Zelensky', 'indices': [24, 33]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-06 08:27:37.216428,0.0,0.727,0.273,0.4588
7,518,1485418522679382023,teamzelensky,Слава Україні 🇺🇦,Ukraine,5,652,1613,2022-01-24 01:06:06.000000,1566946090376695808,2022-09-06 00:27:15,0,"🚨🚨🚨🚨GOOD NEWS🚨🚨🚨🚨
A new transportation of AHS Krab 155mm self-propelled howitzers to Ukraine.🇺🇦

#Ukraine️ #Russia #RussiaUkraineWar
 https://t.co/qPqfxaSUSq","[{'text': 'Ukraine️', 'indices': [97, 106]}, {'text': 'Russia', 'indices': [107, 114]}, {'text': 'RussiaUkraineWar', 'indices': [115, 132]}]",en,,7,False,0,0,,0,0,,False,0,0,,2022-09-06 09:33:20.242665,0.0,1.0,0.0,0.0
8,534,1485418522679382023,teamzelensky,Слава Україні 🇺🇦,Ukraine,5,652,1613,2022-01-24 01:06:06.000000,1566946255552614402,2022-09-06 00:27:54,0,"“Most of them are of Russian origin”

Cologne, Germany. Masive demonstration in Germany against the Olaf Scholz's government. They demand the lifting of sanctions against Russia and neutrality in the conflict in Ukraine.

#Ukraine 🇺🇦️ #Russia #Germany https://t.co/u4I7qqPNpa","[{'text': 'Ukraine', 'indices': [223, 231]}, {'text': 'Russia', 'indices': [236, 243]}, {'text': 'Germany', 'indices': [244, 252]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-06 05:47:43.057214,0.095,0.871,0.035,-0.34
9,540,1485418522679382023,teamzelensky,Слава Україні 🇺🇦,Ukraine,5,652,1613,2022-01-24 01:06:06.000000,1566946333361070082,2022-09-06 00:28:12,0,"Milchakov, commander of ""Rusich"" group fighting for Russia in Ukraine:

""I'm a Naz¡, I'm a Naz¡.I won't elaborate whether I'm a nationalist, a patriot or imperialist. I say directly: I'm a Naz¡. I can raise my hand in Naz¡ salute""
#Ukraine 🇺🇦️ #Russia
https://t.co/l2eHHUpSIj","[{'text': 'Ukraine', 'indices': [231, 239]}, {'text': 'Russia', 'indices': [244, 251]}]",en,,1,False,0,0,,0,0,,False,0,0,,2022-09-06 05:47:42.866806,0.052,0.881,0.067,0.1779
10,586,1485418522679382023,teamzelensky,Слава Україні 🇺🇦,Ukraine,5,652,1613,2022-01-24 01:06:06.000000,1566946859167453185,2022-09-06 00:30:18,1,"🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🤝🏻🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦
A large convoy of USA ""International MaxxPro"" armored vehicles was handed over to the Armed Forces of Ukraine. The number is still unknown.

#Ukraine️ #Russia #Zelensky #USA https://t.co/TPk9YzP91X","[{'text': 'Ukraine️', 'indices': [169, 178]}, {'text': 'Russia', 'indices': [179, 186]}, {'text': 'Zelensky', 'indices': [187, 196]}, {'text': 'USA', 'indices': [197, 201]}]",en,,14,False,0,0,,0,0,,False,0,0,,2022-09-06 09:33:20.103832,0.0,0.961,0.039,0.0772
11,591,1485418522679382023,teamzelensky,Слава Україні 🇺🇦,Ukraine,5,652,1613,2022-01-24 01:06:06.000000,1566946927815663618,2022-09-06 00:30:34,21,"It is really that simple: If Russia stops fighting, there will be no war. If Ukraine stops fighting, there will be no more Ukraine 🇺🇦

#Ukraine️ #Russia #UkraineRussiaWar https://t.co/9BH0s0fYH8","[{'text': 'Ukraine️', 'indices': [135, 144]}, {'text': 'Russia', 'indices': [145, 152]}, {'text': 'UkraineRussiaWar', 'indices': [153, 170]}]",en,,38,False,0,0,,0,0,,False,0,0,,2022-09-06 09:33:20.059973,0.285,0.629,0.086,-0.6433
12,634,2966809636,ArtemiyMoroz,Ukrainian Scientist & Entrepreneur,Ukraine,182,97,7108,2015-01-07 21:56:15.000000,1566947528590884865,2022-09-06 00:32:57,0,"@RepJohnJoyce Thank you for support, but we need 20 more #HIMARS here","[{'text': 'HIMARS', 'indices': [57, 64]}]",en,,0,False,0,0,,1566826423595270144,1082311988926124032,RepJohnJoyce,False,0,0,,2022-09-06 07:33:03.480995,0.0,0.735,0.265,0.3818
13,748,2966809636,ArtemiyMoroz,Ukrainian Scientist & Entrepreneur,Ukraine,182,97,7116,2015-01-07 21:56:15.000000,1566949332275838982,2022-09-06 00:40:07,0,@CongressmanGT Please send 20 more #HIMARS to Ukraine. Urgently,"[{'text': 'HIMARS', 'indices': [35, 42]}]",en,,0,False,0,0,,1566790451251871744,18967498,CongressmanGT,False,0,0,,2022-09-06 09:05:26.095185,0.0,0.777,0.223,0.3182
