Unnamed: 0,userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetid,tweetcreatedts,retweetcount,text,hashtags,language,coordinates,favorite_count,is_retweet,original_tweet_id,original_tweet_userid,original_tweet_username,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,quoted_status_id,quoted_status_userid,quoted_status_username,extractedts
1,1244796162751655936,RussianLadies1,"Russia Ladies is one of the largest and most respected foreign singles introduction and tour services. Established in 1995, we were among the very first.",Russia,903,412,554,2020-03-31 01:19:00.000000,1566576846745092097,2022-09-05 00:00:00,0,"Russia is home to some of the best and most esteemed writers like Leo Tolstoy, Fyodor Dostoevsky, and Anton Chekhov,

Follow us for more interesting facts about Russia!
https://t.co/9gORMVnGIg

#Russia #interesting #Facts #Literature #Truefacts #followusnow #FYP https://t.co/k5paRjtNrY","[{'text': 'Russia', 'indices': [194, 201]}, {'text': 'interesting', 'indices': [202, 214]}, {'text': 'Facts', 'indices': [215, 221]}, {'text': 'Literature', 'indices': [222, 233]}, {'text': 'Truefacts', 'indices': [234, 244]}, {'text': 'followusnow', 'indices': [245, 257]}, {'text': 'FYP', 'indices': [258, 262]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 07:15:37.978958
212,947907788,vyacheslife,"Editor, journalist",Ukraine,100,270,6794,2012-11-14 14:58:19.000000,1566580293292654592,2022-09-05 00:13:42,0,"@JulianRoepcke It is a lie that Ukraine has de-occupied something. Thanks to your valiant reporting, everyone knows that #Ukraine has completely failed the #counteroffensive","[{'text': 'Ukraine', 'indices': [121, 129]}, {'text': 'counteroffensive', 'indices': [156, 173]}]",en,,0,False,0,0,,1566415924097327104,428140124,JulianRoepcke,False,0,0,,2022-09-05 06:22:56.200731
452,2966809636,ArtemiyMoroz,Ukrainian Scientist & Entrepreneur,Ukraine,182,94,6936,2015-01-07 21:56:15.000000,1566584751137357826,2022-09-05 00:31:25,0,@RepThompson Ukraine urgently needs 20 more #HIMARS launchers,"[{'text': 'HIMARS', 'indices': [44, 51]}]",en,,0,False,0,0,,1566426277149646848,303861808,RepThompson,False,0,0,,2022-09-05 07:30:34.580524
481,1295009660815237120,AmericanVagabo1,that stupid recording was me and I was trolling Russians.,Ukraine,118,8,225,2020-08-16 14:49:04.000000,1566585216109527042,2022-09-05 00:33:15,0,Maybe we should call #Russians Orx instead of orcs to play on the whole gender neutral thing. I think that would offend them #NAFO #,"[{'text': 'Russians', 'indices': [21, 30]}, {'text': 'NAFO', 'indices': [125, 130]}]",en,,1,False,0,0,,0,0,,False,0,0,,2022-09-05 12:31:14.245104
671,1496960059900899329,Peaceinworld22,"Uluslararası İlişkiler, diplomasi #ukraine #war #ukrayna #nowar #savaşahayır #ukrayna
🟥#ukraynadanyataygeçiş 🏫
☮️⚪🌍",Ukraine,107,465,1391,2022-02-24 21:27:57.000000,1566588732597276672,2022-09-05 00:47:14,0,"Ukraynada sokaklar ağır bombardıman altında...
Bu görüntüler savaşın en şiddetli sürdüğü Harkov'dan

#UkraineRussiaWar Güvenlik #Ukrayna #kharkiv https://t.co/BvJsftDwsQ","[{'text': 'UkraineRussiaWar', 'indices': [101, 118]}, {'text': 'Ukrayna', 'indices': [128, 136]}, {'text': 'kharkiv', 'indices': [137, 145]}]",tr,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 07:45:56.443283
681,1496960059900899329,Peaceinworld22,"Uluslararası İlişkiler, diplomasi #ukraine #war #ukrayna #nowar #savaşahayır #ukrayna
🟥#ukraynadanyataygeçiş 🏫
☮️⚪🌍",Ukraine,107,465,1391,2022-02-24 21:27:57.000000,1566588982691074050,2022-09-05 00:48:13,0,"Ukrayna Harkov bölgesi

#UkraineRussiaWar #Ukrayna #kharkiv https://t.co/MvbfuU8PiE","[{'text': 'UkraineRussiaWar', 'indices': [24, 41]}, {'text': 'Ukrayna', 'indices': [42, 50]}, {'text': 'kharkiv', 'indices': [51, 59]}]",tr,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 07:45:56.191038
861,1497968890479063043,DinaLuuna,Stand with Ukraine 🇺🇦,Ukraine,55,11,221,2022-02-27 16:18:10.000000,1566591808158703618,2022-09-05 00:59:27,0,@_zmorena @sdonikanp Плачу🤣🤣🤣🤣🤣,[],ru,,0,False,0,0,,1566478786056658944,1351325346034028544,_zmorena,False,0,0,,2022-09-05 14:05:53.161376
963,41847759,pirat_anduril,"praises for every 🇺🇦 fighter 🙏. 
I'm looting like the 2nd army when it comes to  memes.",Ukraine,1050,613,25700,2009-05-22 16:34:06.000000,1566593487683948545,2022-09-05 01:06:08,0,#Ukraine will be #russia 's #vietnam . https://t.co/rtJ4Yt06zC,"[{'text': 'Ukraine', 'indices': [0, 8]}, {'text': 'russia', 'indices': [17, 24]}, {'text': 'vietnam', 'indices': [28, 36]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 07:15:29.350094
1004,1546653552600383488,MarkAnt15133960,focus on the plan,Ukraine,83,67,21,2022-07-12 00:32:07.000000,1566594493205315585,2022-09-05 01:10:07,0,"@TDF_UA We have the first Agricultural  blockchain project, founded by #Ukrainians @AgroGloryTime to dispute the present predicament on food  in #Ukraine","[{'text': 'Ukrainians', 'indices': [71, 82]}, {'text': 'Ukraine', 'indices': [145, 153]}]",en,,0,False,0,0,,1566316097917386752,1514932135412523008,TDF_UA,False,0,0,,2022-09-05 08:30:13.634618
1085,2966809636,ArtemiyMoroz,Ukrainian Scientist & Entrepreneur,Ukraine,182,95,6941,2015-01-07 21:56:15.000000,1566596040731541511,2022-09-05 01:16:16,0,@MPRnews Please send 20 more #HIMARS to Ukraine. Urgently,"[{'text': 'HIMARS', 'indices': [29, 36]}]",en,,0,False,0,0,,1564952140098961408,15965292,MPRnews,False,0,0,,2022-09-05 09:02:30.058997
1320,1424639970,IuliiaMendel,Former Spokesperson to President @ZelenskyyUa Author: The Fight of Our Lives https://t.co/CLX2BRG8BW @PostOpinions contributor proud Ukrainian🇺🇦 in love❤️‍🔥,Ukraine,857,71610,8335,2013-05-13 05:09:57.000000,1566600981982453765,2022-09-05 01:35:54,60,Ukrainian army hits the Antonovsky bridge in #Kherson not stopping the attempts to destroy this channel of supplies of russian military and weapons https://t.co/lThaeTg4Ee,"[{'text': 'Kherson', 'indices': [45, 53]}]",en,,392,False,0,0,,0,0,,False,0,0,,2022-09-05 08:25:29.539170
1554,2966809636,ArtemiyMoroz,Ukrainian Scientist & Entrepreneur,Ukraine,182,95,6941,2015-01-07 21:56:15.000000,1566605455408996356,2022-09-05 01:53:41,0,@SenJoniErnst Please send 20 more #HIMARS to Ukraine. Urgently,"[{'text': 'HIMARS', 'indices': [34, 41]}]",en,,0,False,0,0,,1566590564438614016,2856787757,SenJoniErnst,False,0,0,,2022-09-05 09:02:21.064300
1571,1498611918118035456,RussianPlanes,"Bot account tracking Russian Oligarch and Russian Government planes from ADS-B Data.

Data from https://t.co/x2SdagjaAX
#StandWithUkraine",Ukraine,39,82,603,2022-03-01 10:51:45.000000,1566605821823389696,2022-09-05 01:55:08,0,"#Russia - Alexander Abramov flight #KAY53 (#D-ALEX) landed at Los Angeles International Airport at 9/5/2022, 1:55:08 AM
https://t.co/okeUwLZxsc https://t.co/qGLNabv3MJ","[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'KAY53', 'indices': [35, 41]}, {'text': 'D', 'indices': [43, 45]}]",en,,1,False,0,0,,0,0,,False,0,0,,2022-09-05 08:46:06.064020
1692,2966809636,ArtemiyMoroz,Ukrainian Scientist & Entrepreneur,Ukraine,182,95,6941,2015-01-07 21:56:15.000000,1566608067936096258,2022-09-05 02:04:04,0,"@SenJackyRosen Thank you for support, but we need 20 more #HIMARS here","[{'text': 'HIMARS', 'indices': [58, 65]}]",en,,0,False,0,0,,1566559229342896128,818554054309715968,SenJackyRosen,False,0,0,,2022-09-05 09:02:18.868944
